track,model,model_display_name,model_family,train_rows,train_normal_rows,train_dos_or_ddos_rows,test_rows,test_normal_rows,test_dos_or_ddos_rows,fit_seconds,predict_seconds,n_estimators,learning_rate,random_state,sample_limited,baseline_best_model_for_track,baseline_macro_f1_for_track,baseline_mcc_for_track,tn,fp,fn,tp,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_normal,recall_normal,f1_normal,macro_f1,weighted_f1,mcc,false_positive_rate,false_negative_rate,delta_macro_f1_vs_baseline,delta_mcc_vs_baseline
A_realistic_imbalanced,lightgbm,LightGBM Gradient Boosting,advanced_gradient_boosting,2861833,370,2861463,715528,107,715421,6.7728,0.4019,300,0.05,42,False,decision_tree,0.96666142,0.93444061,106,1,4,715417,0.99999301,0.99532431,0.9999986,0.99999441,0.99999651,0.96363636,0.99065421,0.97695853,0.98847752,0.99999306,0.97704843,0.00934579,5.59e-06,0.0218161,0.04260782
B_balanced_controlled_1_to_1,lightgbm,LightGBM Gradient Boosting,advanced_gradient_boosting,740,370,370,214,107,107,0.0713,0.003,300,0.05,42,False,random_forest,1.0,1.0,106,1,0,107,0.9953271,0.9953271,0.99074074,1.0,0.99534884,1.0,0.99065421,0.99530516,0.995327,0.995327,0.99069747,0.00934579,0.0,-0.004673,-0.00930253
B_balanced_controlled_1_to_1,xgboost,XGBoost Histogram Boosting,advanced_gradient_boosting,740,370,370,214,107,107,0.0444,0.0025,300,0.05,42,False,random_forest,1.0,1.0,107,0,1,106,0.9953271,0.9953271,1.0,0.99065421,0.99530516,0.99074074,1.0,0.99534884,0.995327,0.995327,0.99069747,0.0,0.00934579,-0.004673,-0.00930253
B_balanced_controlled_1_to_1,catboost,CatBoost Gradient Boosting,advanced_gradient_boosting,740,370,370,214,107,107,0.203,0.0023,300,0.05,42,False,random_forest,1.0,1.0,107,0,1,106,0.9953271,0.9953271,1.0,0.99065421,0.99530516,0.99074074,1.0,0.99534884,0.995327,0.995327,0.99069747,0.0,0.00934579,-0.004673,-0.00930253
C_balanced_controlled_1_to_2,lightgbm,LightGBM Gradient Boosting,advanced_gradient_boosting,1110,370,740,321,107,214,0.0927,0.0033,300,0.05,42,False,random_forest,1.0,1.0,106,1,0,214,0.99688474,0.9953271,0.99534884,1.0,0.997669,1.0,0.99065421,0.99530516,0.99648708,0.99688105,0.99299875,0.00934579,0.0,-0.00351292,-0.00700125
C_balanced_controlled_1_to_2,xgboost,XGBoost Histogram Boosting,advanced_gradient_boosting,1110,370,740,321,107,214,0.1356,0.0028,300,0.05,42,False,random_forest,1.0,1.0,107,0,1,213,0.99688474,0.99766355,1.0,0.9953271,0.99765808,0.99074074,1.0,0.99534884,0.99650346,0.99688833,0.99303127,0.0,0.0046729,-0.00349654,-0.00696873
C_balanced_controlled_1_to_2,catboost,CatBoost Gradient Boosting,advanced_gradient_boosting,1110,370,740,321,107,214,0.1999,0.0034,300,0.05,42,False,random_forest,1.0,1.0,107,0,2,212,0.99376947,0.9953271,1.0,0.99065421,0.99530516,0.98165138,1.0,0.99074074,0.99302295,0.99378369,0.98614252,0.0,0.00934579,-0.00697705,-0.01385748
